,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
510,Аккумуляторный ударный винтоверт Crown CT22021HX-4 TB,,,320 Нм,,12,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.79 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
511,Аккумуляторная дрель-шуруповерт Ставр 9020100323,10 мм,,32 Нм,,11,,1.2 кг,,есть,,,26 мм,,,14.4 В,,,,,Li-Ion,,,,
512,"Аккумуляторная дрель Einhell TE-CD 12 Li, 12 В, 2ск, 30Нм, 2x2.0 Ач, вставной акк, кейс E-box 4513619",,,30 Нм,,1,,2.5 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
513,Аккумуляторный шуруповерт Союз ДШС-12-2К-ПРОМО,10 мм,,30 Нм,,11,,0.75 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
514,"Аккумуляторная дрель Hanskonner б/щ удар PLATINUM, 18В, 1BatterySystem, 165 Нм,13 мм, без АКБ и ЗУ HCD18165BL",13 мм,,165 Нм,,2,,2.437 кг,,нет,,13 мм,40 мм,,,18 В,,,,,Li-Ion,,,,
515,ВИТЯЗЬ Дрель-шуруповерт аккумуляторная ДА-520-10БСП (5) Витязь (6407) 18012024,10 мм,,,,,Max крутящий момент : 65 Нм,2.475 кг,,есть,,,24 мм,,,20 В,,,,,Li-Ion,,,,
516,Аккумуляторная дрель Tesla TCD18BL 18В 2x2.0Ач LiION 13мм 0-400/0-1500об/мин 55Нм 1ч кейс 840369,13 мм,,,,,Max крутящий момент : 55 Нм,2.6 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
517,Аккумуляторная дрель-шуруповерт BRAIT BCD18N 21.01.024.049,10 мм,,30 Нм,,39,,2.3 кг,,есть,,,10 мм,,,18 В,,,,,Li-Ion,,,,
518,Аккумуляторная двухступенчатая дрель-шуруповерт FLEX DD 2G 18.0-EC HD/5.0 Set с турборежимом 531274,13 мм,,,,,Max крутящий момент : 158 Нм,1.7 кг,,есть,,,89 мм,,,18 В,,,,,Li-Ion,,,,
519,"Бесщеточная дрель-шуруповерт DEWALT 2 скорости, 2 АКБ 18 В XR Li-Ion DCD800E2T-QW",13 мм,,90 Нм,,22,3-позиционный светодиод – подсветку можно направить точно в нужное место,1.28 кг,,есть,,,55 мм,,,18 В,,,,,Li-Ion,,,,
520,Аккумуляторный шуруповерт Makita DDF083RFE,13 мм,,40 Нм,,10,,1.4 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
521,Бесщеточная ударная дрель-шуруповерт DEWALT DCD796P2,13 мм,,70 Нм,,62,Инновационный бесщеточный двигатель обеспечивает высокую производительность,1.8 кг,,есть,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
522,"Дрель аккумуляторная Спец БДА-21-Б, (бесщеточный двигатель),21В,2аккум *2,0Ач, Ли-Ион, 0-450/0-1500об/мин,60Нм,реверс,21+1,рег..момента,металл.патрон 10мм,блок.шпинделя,инд.батареи,подсведка,зарядка 4ч,кейс + перчатки СПЕЦ-4131/ВС-136-0272",10 мм,,60 Нм,,7,,2.3 кг,,есть,,,30 мм,,,21 В,,,,,Li-Ion,,,,
